PAY_1,LIMIT_BAL,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_2,MARRIAGE,SEX,EDUCATION,default_pay
0,90000.0,29239.0,1518.0,1500.0,0,2,2,2,0
-1,50000.0,8617.0,2000.0,36681.0,0,1,1,2,0
0,50000.0,64400.0,2500.0,1815.0,0,2,1,1,0
0,100000.0,11876.0,380.0,601.0,-1,2,2,2,0
0,140000.0,11285.0,3329.0,0.0,0,1,2,3,0
0,200000.0,11073.0,2306.0,12.0,0,2,2,3,0
1,180000.0,0.0,0.0,0.0,-2,2,2,1,0
0,130000.0,38358.0,3000.0,1537.0,0,2,2,3,0
0,50000.0,47620.0,1973.0,1426.0,0,2,1,3,0
-1,50000.0,650.0,3415.0,3421.0,-1,1,2,3,0
-1,230000.0,16646.0,17270.0,13281.0,-1,2,2,1,0
-2,500000.0,13709.0,5006.0,31178.0,-2,1,1,1,0
-1,160000.0,30265.0,131.0,396.0,-1,2,1,1,0
0,280000.0,186503.0,8026.0,8060.0,0,1,1,2,0
0,60000.0,15054.0,1500.0,1518.0,0,2,2,2,0
-1,280000.0,498.0,9075.0,0.0,-1,2,1,1,0
0,360000.0,218668.0,10000.0,7000.0,0,2,1,1,0
-1,380000.0,22401.0,21540.0,15138.0,-1,2,1,2,0
0,100000.0,61559.0,2000.0,1606.0,0,3,2,3,0
-2,310000.0,13465.0,7875.0,7600.0,-2,1,2,2,0
1,180000.0,41402.0,1300.0,2010.0,2,2,2,1,0
0,180000.0,175886.0,8083.0,7296.0,0,1,2,2,0
-1,200000.0,1587.0,0.0,0.0,3,2,2,1,0
-1,130000.0,99.0,0.0,0.0,-1,1,2,2,0
2,210000.0,300.0,300.0,1159.0,-1,2,2,1,0
2,20000.0,18565.0,0.0,1200.0,0,2,1,5,0
-1,200000.0,9076.0,5818.0,15.0,-1,1,2,2,0
-1,340000.0,3048.0,5713.0,23453.0,-1,2,1,1,0
-1,300000.0,291.0,291.0,291.0,-1,1,2,1,0
0,470000.0,165254.0,6400.0,7566.0,0,3,2,3,0
0,360000.0,23411.0,4796.0,3400.0,0,2,2,1,0
0,400000.0,131595.0,10700.0,3.0,0,1,2,2,0
0,160000.0,130028.0,4400.0,3547.0,0,2,1,2,0
0,160000.0,3826.0,1147.0,2000.0,0,2,2,2,0
0,130000.0,81313.0,40000.0,5000.0,0,1,2,1,0
0,150000.0,86009.0,4031.0,10006.0,0,2,1,1,0
0,50000.0,18722.0,1411.0,1194.0,0,1,2,3,0
-2,380000.0,-81.0,223.0,33178.0,-2,2,2,1,0
2,60000.0,56685.0,0.0,5000.0,2,2,2,2,0
-1,70000.0,5580.0,0.0,0.0,-1,2,2,2,0
-1,350000.0,713.0,2272.0,722.0,-1,2,1,1,0
0,130000.0,171438.0,10908.0,0.0,0,2,1,2,0
0,330000.0,105879.0,9260.0,0.0,0,1,2,1,0
0,50000.0,19015.0,1340.0,1305.0,0,2,1,2,0
-1,240000.0,326.0,326.0,326.0,-1,2,1,1,0
-1,400000.0,19660.0,9677.0,11867.0,-1,1,1,2,0
0,240000.0,50254.0,2000.0,3000.0,0,2,2,2,0
0,330000.0,227389.0,8210.0,8095.0,0,1,1,3,0
-2,170000.0,12159.0,10000.0,10000.0,-2,2,1,2,0
1,200000.0,197236.0,8000.0,5000.0,2,2,1,1,0
1,260000.0,-1100.0,0.0,22500.0,-2,1,2,1,0
0,140000.0,86627.0,3455.0,3110.0,0,1,1,2,0
0,80000.0,42444.0,30000.0,3000.0,0,2,1,1,0
0,200000.0,196031.0,7300.0,7108.0,0,2,2,3,0
-1,290000.0,1234.0,396.0,396.0,-1,1,1,3,0
0,110000.0,101640.0,5500.0,3900.0,0,2,2,1,0
-2,370000.0,6093.0,15383.0,8204.0,-2,2,1,1,0
0,50000.0,28040.0,1510.0,1442.0,0,2,2,2,0
0,270000.0,37695.0,5000.0,2000.0,0,2,1,2,0
-1,300000.0,688.0,3288.0,0.0,-1,2,2,1,0
-1,50000.0,8567.0,15000.0,1000.0,0,2,2,2,0
1,360000.0,0.0,0.0,77.0,-2,2,1,1,0
0,20000.0,16001.0,1212.0,1201.0,0,2,2,2,0
-1,240000.0,12212.0,15000.0,0.0,-1,2,1,1,0
0,80000.0,49608.0,12500.0,6500.0,-1,2,2,3,0
0,500000.0,56422.0,70010.0,30357.0,0,1,2,1,0
1,360000.0,2616.0,57087.0,5295.0,-1,2,2,1,0
0,310000.0,59901.0,10020.0,6031.0,0,2,1,1,0
-2,150000.0,0.0,0.0,0.0,-2,1,2,2,0
0,140000.0,27123.0,25000.0,0.0,0,2,1,1,0
-1,140000.0,13424.0,10000.0,13001.0,0,2,2,1,0
0,120000.0,107314.0,5000.0,5000.0,0,2,1,2,0
0,360000.0,226430.0,9100.0,7300.0,0,1,2,2,0
0,220000.0,105607.0,5000.0,5050.0,0,2,1,1,0
0,40000.0,38257.0,1700.0,1504.0,0,1,2,3,0
2,470000.0,296573.0,13000.0,11001.0,2,2,1,2,0
2,80000.0,79278.0,3100.0,3500.0,0,2,1,2,0
0,110000.0,89989.0,4000.0,5000.0,0,0,2,3,0
0,320000.0,91653.0,10042.0,18832.0,0,2,2,2,0
0,170000.0,130370.0,6530.0,4860.0,0,2,2,1,0
0,50000.0,35084.0,2090.0,2002.0,0,2,2,1,0
-1,80000.0,7988.0,3983.0,6853.0,-1,2,1,1,0
-2,210000.0,1440.0,0.0,7422.0,-2,2,2,1,0
0,50000.0,47174.0,1800.0,2000.0,0,2,1,1,0
0,250000.0,52874.0,1631.0,1536.0,-1,1,2,2,0
0,330000.0,46140.0,2504.0,4007.0,0,2,1,1,0
0,50000.0,35713.0,1561.0,1268.0,0,1,1,3,0
0,160000.0,70243.0,7042.0,2000.0,0,2,2,1,0
-1,400000.0,19532.0,3127.0,1469.0,0,2,2,2,0
0,50000.0,27699.0,1565.0,1393.0,0,1,1,2,0
0,100000.0,62170.0,0.0,0.0,0,1,2,3,0
0,510000.0,78331.0,40010.0,20094.0,0,2,2,1,0
0,50000.0,49276.0,1602.0,1400.0,0,2,1,2,0
-2,230000.0,2283.0,51315.0,0.0,-2,2,2,1,0
-1,80000.0,10115.0,258.0,5995.0,-1,2,2,1,0
0,100000.0,70003.0,2035.0,2004.0,0,2,1,3,0
0,50000.0,50859.0,2007.0,2199.0,0,1,1,3,0
0,270000.0,127543.0,10063.0,5162.0,0,1,1,2,0
0,230000.0,195126.0,5000.0,5000.0,0,1,2,3,0
-1,210000.0,110346.0,41986.0,21874.0,-1,1,2,1,0
2,210000.0,60502.0,3276.0,2026.0,0,2,1,1,0
0,440000.0,180641.0,8610.0,6907.0,0,1,2,2,0
0,210000.0,143225.0,6483.0,5082.0,0,1,2,2,0
0,280000.0,58983.0,2755.0,3463.0,0,1,2,1,0
0,100000.0,99209.0,3490.0,2332.0,0,2,1,2,0
-2,440000.0,0.0,0.0,0.0,-2,2,2,1,0
0,50000.0,49941.0,2400.0,1206.0,0,1,2,3,0
-1,200000.0,871.0,665.0,960.0,-1,2,2,1,0
-1,500000.0,10483.0,23962.0,0.0,-1,1,2,2,0
-1,60000.0,20847.0,13809.0,14583.0,-1,2,2,1,0
0,180000.0,143301.0,7000.0,5000.0,0,1,2,2,0
0,100000.0,55734.0,1631.0,1286.0,0,2,1,1,0
0,110000.0,47819.0,2200.0,2500.0,0,2,2,2,0
1,180000.0,-2.0,0.0,0.0,-2,2,1,2,0
0,340000.0,172180.0,21105.0,5461.0,0,2,2,1,0
0,360000.0,93029.0,10000.0,7000.0,0,2,2,2,0
1,210000.0,0.0,0.0,38013.0,-2,2,1,2,0
-2,340000.0,50396.0,44665.0,8321.0,-1,1,1,2,0
1,400000.0,0.0,0.0,0.0,-2,1,2,2,0
0,20000.0,20571.0,1323.0,1600.0,0,2,1,1,0
0,190000.0,143464.0,5795.0,7408.0,0,2,2,1,0
0,260000.0,156882.0,10000.0,8000.0,0,2,2,1,0
-1,200000.0,2393.0,0.0,4872.0,2,2,2,1,0
0,180000.0,274731.0,11000.0,145000.0,0,1,1,1,0
-1,100000.0,1370.0,4210.0,4159.0,-1,2,2,2,0
0,90000.0,39128.0,1541.0,4200.0,0,2,1,1,0
1,200000.0,-14386.0,10118.0,47015.0,-2,1,1,1,0
0,380000.0,194314.0,9010.0,35000.0,0,2,1,2,0
0,110000.0,83755.0,3000.0,2900.0,0,2,2,4,0
-1,260000.0,49657.0,291.0,51058.0,-1,1,1,1,0
0,320000.0,71305.0,2589.0,2568.0,0,2,2,2,0
1,330000.0,-9.0,1529.0,1507.0,-1,1,2,2,0
-1,160000.0,99.0,2977.0,15086.0,-1,2,1,1,0
0,210000.0,69937.0,3500.0,3000.0,0,2,1,1,0
0,130000.0,89055.0,4200.0,2575.0,0,2,2,2,0
1,80000.0,0.0,80000.0,0.0,-1,2,2,1,0
0,150000.0,153249.0,7900.0,6500.0,0,1,1,2,0
0,310000.0,103797.0,4400.0,4013.0,0,1,1,2,0
-1,360000.0,38000.0,25000.0,0.0,-1,1,1,1,0
-2,50000.0,0.0,0.0,0.0,-2,2,2,2,0
2,120000.0,120298.0,4007.0,0.0,2,2,2,2,0
0,240000.0,156362.0,5233.0,3289.0,0,2,1,1,0
0,60000.0,41322.0,1488.0,1394.0,0,3,2,3,0
0,120000.0,26476.0,6000.0,0.0,0,1,2,2,0
-1,200000.0,190.0,0.0,0.0,-1,1,2,1,0
-2,480000.0,14867.0,26734.0,199982.0,-2,1,2,3,0
-1,50000.0,22500.0,5000.0,0.0,-1,1,2,3,0
0,50000.0,14811.0,2000.0,1600.0,0,2,2,1,0
0,490000.0,192586.0,10000.0,7143.0,0,1,2,2,0
-1,80000.0,11262.0,0.0,0.0,-1,1,2,2,0
0,210000.0,212601.0,6000.0,4500.0,0,2,2,2,0
0,110000.0,48123.0,2500.0,2500.0,0,2,2,1,0
0,360000.0,9210.0,6015.0,17454.0,0,1,1,3,0
0,110000.0,61807.0,2300.0,2200.0,0,1,1,3,0
-1,50000.0,350.0,350.0,400.0,-1,2,1,2,0
0,200000.0,122923.0,5704.0,5930.0,0,2,2,1,0
-1,180000.0,46122.0,1260.0,29366.0,-1,1,2,1,0
0,200000.0,38564.0,5000.0,1485.0,0,1,1,4,0
0,200000.0,156786.0,179.0,1443.0,0,2,2,1,0
0,80000.0,78129.0,2500.0,51432.0,0,2,1,2,0
0,40000.0,40034.0,2027.0,1207.0,0,2,1,2,0
-1,50000.0,23974.0,1800.0,1900.0,0,2,1,1,0
-1,230000.0,819.0,18163.0,5654.0,-1,1,2,2,0
0,180000.0,152510.0,5657.0,10372.0,0,1,2,2,0
